Tournament,Group,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
Mexico 1986,A,2,Italy,3,1,2,0,5,4,+1,4,Advance to knockout stage,
Mexico 1986,A,3,Bulgaria,3,0,2,1,2,4,-2,2,Advance to knockout stage,
Mexico 1986,A,4,South Korea,3,0,1,2,4,7,-3,1,Eliminated,
Mexico 1986,B,1,Mexico,3,2,1,0,4,2,+2,5,Advance to knockout stage,
Mexico 1986,B,2,Paraguay,3,1,2,0,4,3,+1,4,Advance to knockout stage,
Mexico 1986,B,3,Belgium,3,1,1,1,5,5,0,3,Advance to knockout stage,
Mexico 1986,B,4,Iraq,3,0,0,3,1,4,-3,0,Eliminated,
Mexico 1986,C,1,Soviet Union,3,2,1,0,9,1,+8,5,Advance to knockout stage,
Mexico 1986,C,2,France,3,2,1,0,5,1,+4,5,Advance to knockout stage,
Mexico 1986,C,3,Hungary,3,1,0,2,2,9,-7,2,Eliminated,
Mexico 1986,C,4,Canada,3,0,0,3,0,5,-5,0,Eliminated,
Mexico 1986,D,1,Brazil,3,3,0,0,5,0,+5,6,Advance to knockout stage,
Mexico 1986,D,2,Spain,3,2,0,1,5,2,+3,4,Advance to knockout stage,
Mexico 1986,D,3,Northern Ireland,3,0,1,2,2,6,-4,1,Eliminated,
Mexico 1986,D,4,Algeria,3,0,1,2,1,5,-4,1,Eliminated,
Mexico 1986,E,1,Denmark,3,3,0,0,9,1,+8,6,Advance to knockout stage,
Mexico 1986,E,2,West Germany,3,1,1,1,3,4,-1,3,Advance to knockout stage,
Mexico 1986,E,3,Uruguay,3,0,2,1,2,7,-5,2,Advance to knockout stage,
Mexico 1986,E,4,Scotland,3,0,1,2,1,3,-2,1,Eliminated,
Mexico 1986,F,1,Morocco,3,1,2,0,3,1,+2,4,Advance to knockout stage,
Mexico 1986,F,2,England,3,1,1,1,3,1,+2,3,Advance to knockout stage,
Mexico 1986,F,3,Poland,3,1,1,1,1,3,-2,3,Advance to knockout stage,
Mexico 1986,F,4,Portugal,3,1,0,2,2,4,-2,2,Eliminated,
Italy 1990,A,1,Italy,3,3,0,0,4,0,+4,6,Advance to knockout stage,
Italy 1990,A,2,Czechoslovakia,3,2,0,1,6,3,+3,4,Advance to knockout stage,
Italy 1990,A,3,Austria,3,1,0,2,2,3,-1,2,Eliminated,
Italy 1990,A,4,United States,3,0,0,3,2,8,-6,0,Eliminated,
Italy 1990,B,1,Cameroon,3,2,0,1,3,5,-2,4,Advance to knockout stage,
Italy 1990,B,2,Romania,3,1,1,1,4,3,+1,3,Advance to knockout stage,
Italy 1990,B,3,Argentina,3,1,1,1,3,2,+1,3,Advance to knockout stage,
Italy 1990,B,4,Soviet Union,3,1,0,2,4,4,0,2,Eliminated,
Italy 1990,C,1,Brazil,3,3,0,0,4,1,+3,6,Advance to knockout stage,
Italy 1990,C,2,Costa Rica,3,2,0,1,3,2,+1,4,Advance to knockout stage,
Italy 1990,C,3,Scotland,3,1,0,2,2,3,-1,2,Eliminated,
Italy 1990,C,4,Sweden,3,0,0,3,3,6,-3,0,Eliminated,
Italy 1990,D,1,West Germany,3,2,1,0,10,3,+7,5,Advance to knockout stage,
Italy 1990,D,2,Yugoslavia,3,2,0,1,6,5,+1,4,Advance to knockout stage,
Italy 1990,D,3,Colombia,3,1,1,1,3,2,+1,3,Advance to knockout stage,
Italy 1990,D,4,United Arab Emirates,3,0,0,3,2,11,-9,0,Eliminated,
Italy 1990,E,1,Spain,3,2,1,0,5,2,+3,5,Advance to knockout stage,
Italy 1990,E,2,Belgium,3,2,0,1,6,3,+3,4,Advance to knockout stage,
Italy 1990,E,3,Uruguay,3,1,1,1,2,3,-1,3,Advance to knockout stage,
Italy 1990,E,4,South Korea,3,0,0,3,1,6,-5,0,Eliminated,
Italy 1990,F,1,England,3,1,2,0,2,1,+1,4,Advance to knockout stage,
Italy 1990,F,2,Republic of Ireland,3,0,3,0,2,2,0,3,Advance to knockout stage (Fair Play Points),
Italy 1990,F,3,Netherlands,3,0,3,0,2,2,0,3,Advance to knockout stage (Fair Play Points),
Italy 1990,F,4,Egypt,3,0,2,1,1,2,-1,2,Eliminated,
USA 1994,A,1,Romania,3,2,0,1,5,5,0,6,Advance to knockout stage,
USA 1994,A,2,Switzerland,3,1,1,1,5,4,+1,4,Advance to knockout stage,
USA 1994,A,3,United States,3,1,1,1,3,3,0,4,Advance to knockout stage,
USA 1994,A,4,Colombia,3,1,0,2,4,5,-1,3,Eliminated,
USA 1994,B,1,Brazil,3,2,1,0,6,1,+5,7,Advance to knockout stage,
USA 1994,B,2,Sweden,3,1,2,0,6,4,+2,5,Advance to knockout stage,
USA 1994,B,3,Russia,3,1,0,2,7,6,+1,3,Eliminated,
USA 1994,B,4,Cameroon,3,0,1,2,3,11,-8,1,Eliminated,
USA 1994,C,1,Germany,3,2,1,0,5,3,+2,7,Advance to knockout stage,
USA 1994,C,2,Spain,3,1,2,0,6,4,+2,5,Advance to knockout stage,
USA 1994,C,3,South Korea,3,0,2,1,4,5,-1,2,Eliminated,
USA 1994,C,4,Bolivia,3,0,1,2,1,4,-3,1,Eliminated,
USA 1994,D,1,Nigeria,3,2,0,1,6,2,+4,6,Advance to knockout stage,
USA 1994,D,2,Bulgaria,3,2,0,1,6,3,+3,6,Advance to knockout stage,
USA 1994,D,3,Argentina,3,2,0,1,6,3,+3,6,Advance to knockout stage,
USA 1994,D,4,Greece,3,0,0,3,0,10,-10,0,Eliminated,
USA 1994,E,1,Mexico,3,1,1,1,3,3,,4,Advance to knockout stage,
USA 1994,E,2,Republic of Ireland,3,1,1,1,2,2,,4,Advance to knockout stage,
USA 1994,E,3,Italy,3,1,1,1,2,2,,4,Advance to knockout stage,
USA 1994,E,4,Norway,3,1,1,1,1,1,,4,Eliminated,
USA 1994,F,1,Netherlands,3,2,0,1,4,3,+1,6,Advance to knockout stage,
USA 1994,F,2,Saudi Arabia,3,2,0,1,4,3,+1,6,Advance to knockout stage,
USA 1994,F,3,Belgium,3,2,0,1,2,1,+1,6,Advance to knockout stage,
USA 1994,F,4,Morocco,3,0,0,3,2,5,-3,0,Eliminated,
France 1998,A,1,Brazil,3,2,0,1,6,3,+3,6,Advance to knockout stage,
France 1998,A,2,Norway,3,1,2,0,5,4,+1,5,Advance to knockout stage,
France 1998,A,3,Morocco,3,1,1,1,5,5,0,4,Eliminated,
France 1998,A,4,Scotland,3,0,1,2,2,6,-4,1,Eliminated,
France 1998,B,1,Italy,3,2,1,0,7,3,+4,7,Advance to knockout stage,
France 1998,B,2,Chile,3,0,3,0,4,4,0,3,Advance to knockout stage,
France 1998,B,3,Austria,3,0,2,1,3,4,-1,2,Eliminated,
France 1998,B,4,Cameroon,3,0,2,1,2,5,-3,2,Eliminated,
France 1998,C,1,France,3,3,0,0,9,1,+8,9,Advance to knockout stage,
France 1998,C,2,Denmark,3,1,1,1,3,3,0,4,Advance to knockout stage,
France 1998,C,3,South Africa,3,0,2,1,3,6,-3,2,Eliminated,
France 1998,C,4,Saudi Arabia,3,0,1,2,2,7,-5,1,Eliminated,
France 1998,D,1,Nigeria,3,2,0,1,5,5,0,6,Advance to knockout stage,
France 1998,D,2,Paraguay,3,1,2,0,3,1,+2,5,Advance to knockout stage,
France 1998,D,3,Spain,3,1,1,1,8,4,+4,4,Eliminated,
France 1998,D,4,Bulgaria,3,0,1,2,1,7,-6,1,Eliminated,
France 1998,E,1,Netherlands,3,1,2,0,7,2,+5,5,Advance to knockout stage,
