Group_ID,Team_ID,Tournament_ID,Tournament,Group,GSRound,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
162,WES,SPA-82,Spain 1982,2,1,1,West Germany,3,2,0,1,6,3,3,4,Advanced,
163,AUT,SPA-82,Spain 1982,2,1,2,Austria,3,2,0,1,3,1,2,4,Advanced,
164,ALG,SPA-82,Spain 1982,2,1,3,Algeria,3,2,0,1,5,5,0,4,Eliminated,
165,CHI,SPA-82,Spain 1982,2,1,4,Chile,3,0,0,3,3,8,-5,0,Eliminated,
166,BEL,SPA-82,Spain 1982,3,1,1,Belgium,3,2,1,0,3,1,2,5,Advanced,
167,ARG,SPA-82,Spain 1982,3,1,2,Argentina,3,2,0,1,6,2,4,4,Advanced,
168,HUN,SPA-82,Spain 1982,3,1,3,Hungary,3,1,1,1,12,6,6,3,Eliminated,
169,SAL,SPA-82,Spain 1982,3,1,4,El Salvador,3,0,0,3,1,13,-12,0,Eliminated,
170,ENG,SPA-82,Spain 1982,4,1,1,England,3,3,0,0,6,1,5,6,Advanced,
171,FRA,SPA-82,Spain 1982,4,1,2,France,3,1,1,1,6,5,1,3,Advanced,
172,CZE,SPA-82,Spain 1982,4,1,3,Czechoslovakia,3,0,2,1,2,4,-2,2,Eliminated,
173,KUW,SPA-82,Spain 1982,4,1,4,Kuwait,3,0,1,2,2,6,-4,1,Eliminated,
174,NIR,SPA-82,Spain 1982,5,1,1,Northern Ireland,3,1,2,0,2,1,1,4,Advanced,
175,SPA,SPA-82,Spain 1982,5,1,2,Spain,3,1,1,1,3,3,0,3,Advanced,
176,YUG,SPA-82,Spain 1982,5,1,3,Yugoslavia,3,1,1,1,2,2,0,3,Eliminated,
177,HON,SPA-82,Spain 1982,5,1,4,Honduras,3,0,2,1,2,3,-1,2,Eliminated,
178,BRA,SPA-82,Spain 1982,6,1,1,Brazil,3,3,0,0,10,2,8,6,Advanced,
179,SOV,SPA-82,Spain 1982,6,1,2,Soviet Union,3,1,1,1,6,4,2,3,Advanced,
180,SCO,SPA-82,Spain 1982,6,1,3,Scotland,3,1,1,1,8,8,0,3,Eliminated,
181,NEW,SPA-82,Spain 1982,6,1,4,New Zealand,3,0,0,3,2,12,-10,0,Eliminated,
182,POL,SPA-82,Spain 1982,A,2,1,Poland,2,1,1,0,3,0,3,3,Advanced,
183,SOV,SPA-82,Spain 1982,A,2,2,Soviet Union,2,1,1,0,1,0,1,3,Eliminated,
184,BEL,SPA-82,Spain 1982,A,2,3,Belgium,2,0,0,2,0,4,-4,0,Eliminated,
185,WES,SPA-82,Spain 1982,B,2,1,West Germany,2,1,1,0,2,1,1,3,Advanced,
186,ENG,SPA-82,Spain 1982,B,2,2,England,2,0,2,0,0,0,0,2,Eliminated,
187,SPA,SPA-82,Spain 1982,B,2,3,Spain,2,0,1,1,1,2,-1,1,Eliminated,
188,ITA,SPA-82,Spain 1982,C,2,1,Italy,2,2,0,0,5,3,2,4,Advanced,
189,BRA,SPA-82,Spain 1982,C,2,2,Brazil,2,1,0,1,5,4,1,2,Eliminated,
190,ARG,SPA-82,Spain 1982,C,2,3,Argentina,2,0,0,2,2,5,-3,0,Eliminated,
191,FRA,SPA-82,Spain 1982,D,2,1,France,2,2,0,0,5,1,4,4,Advanced,
192,AUT,SPA-82,Spain 1982,D,2,2,Austria,2,0,1,1,2,3,-1,1,Eliminated,
193,NIR,SPA-82,Spain 1982,D,2,3,Northern Ireland,2,0,1,1,3,6,-3,1,Eliminated,
194,ARG,MEX-86,Mexico 1986,A,1,1,Argentina,3,2,1,0,6,2,4,5,Advanced,
195,ITA,MEX-86,Mexico 1986,A,1,2,Italy,3,1,2,0,5,4,1,4,Advanced,
196,BUL,MEX-86,Mexico 1986,A,1,3,Bulgaria,3,0,2,1,2,4,-2,2,Advanced,
197,SKO,MEX-86,Mexico 1986,A,1,4,South Korea,3,0,1,2,4,7,-3,1,Eliminated,
198,MEX,MEX-86,Mexico 1986,B,1,1,Mexico,3,2,1,0,4,2,2,5,Advanced,
199,PAR,MEX-86,Mexico 1986,B,1,2,Paraguay,3,1,2,0,4,3,1,4,Advanced,
200,BEL,MEX-86,Mexico 1986,B,1,3,Belgium,3,1,1,1,5,5,0,3,Advanced,
201,IRQ,MEX-86,Mexico 1986,B,1,4,Iraq,3,0,0,3,1,4,-3,0,Eliminated,
202,SOV,MEX-86,Mexico 1986,C,1,1,Soviet Union,3,2,1,0,9,1,8,5,Advanced,
203,FRA,MEX-86,Mexico 1986,C,1,2,France,3,2,1,0,5,1,4,5,Advanced,
204,HUN,MEX-86,Mexico 1986,C,1,3,Hungary,3,1,0,2,2,9,-7,2,Eliminated,
205,CAN,MEX-86,Mexico 1986,C,1,4,Canada,3,0,0,3,0,5,-5,0,Eliminated,
206,BRA,MEX-86,Mexico 1986,D,1,1,Brazil,3,3,0,0,5,0,5,6,Advanced,
207,SPA,MEX-86,Mexico 1986,D,1,2,Spain,3,2,0,1,5,2,3,4,Advanced,
208,NIR,MEX-86,Mexico 1986,D,1,3,Northern Ireland,3,0,1,2,2,6,-4,1,Eliminated,
209,ALG,MEX-86,Mexico 1986,D,1,4,Algeria,3,0,1,2,1,5,-4,1,Eliminated,
210,DEN,MEX-86,Mexico 1986,E,1,1,Denmark,3,3,0,0,9,1,8,6,Advanced,
211,WES,MEX-86,Mexico 1986,E,1,2,West Germany,3,1,1,1,3,4,-1,3,Advanced,
212,URU,MEX-86,Mexico 1986,E,1,3,Uruguay,3,0,2,1,2,7,-5,2,Advanced,
213,SCO,MEX-86,Mexico 1986,E,1,4,Scotland,3,0,1,2,1,3,-2,1,Eliminated,
214,MOR,MEX-86,Mexico 1986,F,1,1,Morocco,3,1,2,0,3,1,2,4,Advanced,
215,ENG,MEX-86,Mexico 1986,F,1,2,England,3,1,1,1,3,1,2,3,Advanced,
216,POL,MEX-86,Mexico 1986,F,1,3,Poland,3,1,1,1,1,3,-2,3,Advanced,
217,POR,MEX-86,Mexico 1986,F,1,4,Portugal,3,1,0,2,2,4,-2,2,Eliminated,
218,ITA,ITA-90,Italy 1990,A,1,1,Italy,3,3,0,0,4,0,4,6,Advanced,
